num	name	item	cost
1	depo-bangunan	f100m-wall-faucet	216,684
2	toko-danau	roman	1,170,000
3	depo-listrik	panasonic	1,691,000
4	ns-lk	paku-beton	361,000
5	ns-lk	gypsum-jayaboard	140,000
6	bj-home	closet	4,816,000
7	dunia-bangunan	mowilex	147,250
8	dunia-bangunan	ceram-granit	397,600
9	ns-lk	benang	30,000
10	toko-kunci-kenari	ring-oval-hitam	195,000
11	depo-listrik	panasonic	2,042,000
12	depo-bangunan	ceram	284,700
13	karya-loka	gresik	324,000
14	intan-jaya	null	50,000
15	mitra-10	super-premium-tile-grout	106,567
16	depo-bangunan	guard-gloss	2,204,850
17	ns-lk	saklar-luar	50,000
18	ganda-kusuma	amplas	15,000
19	bj-home	dlastrico-ash	624,625
