num	name	item	cost
1	guna-jaya	mcb-10a-6a	762,000
2	tb-ns-lk	6-semen-gresik	514,000
3	r944	1-truk	350,000
4	depo-bangunan	ceram-180-ga-granit-tile-fixgrey	189,800
5	null	super-white	191,000
6	toko-besi-intan-jaya	1-pak-serat-future-jumbo	2,842,000
7	null	lem-epotec	8,000
8	tb-ns-lk	10-karung	40,000
9	tiga-roda	amplas	20,000
10	null	1-truk	350,000
11	ganda-kusuma	ftalit	321,500
12	arda	1-kg_kota	15,000
13	arda	amplas	37,500
14	dunia-bangunan	sika-certam-tilefix	334,080
15	arda	t. lapala	274,000
16	tiga-roda-semen	amplas	29,000
17	bj-home	dlastrico-sand	112,500
18	arda	lakban-kertas	294,000
19	tb-ns-lk	5_semen-gresik	332,000
20	bj-home-serpong	sika-ceram	269,000
21	depo-bangunan	51-1s-premium-tile-grout-white	573,731
22	depo-bangunan	glass-polish	51,744
23	toko-bangunan-intan-jaya	dh	50,000
24	null	null	25,000
27	toko-besi-intan-jaya	3-kg_paku	1,554,580
28	sumber-abadi	panasonic	205,000
29	metro-jaya	2_ball-valve-pvc-polos	110,000
30	null	sampolae	92,000
31	sinar-waja	65_chemset	490,000
32	null	k-lom	28,000
33	mitra-10	powerbuy-mandiri	854,128
33	mitra-10-qbig	propan-decorcryl	5,124,748
34	tb-ns-lk	6_semen-gresik	330,000
35	null	80-plus-100	20,000
36	guna-jaya	stehr-ac	92,000
37	bj-home	dcorsini-calacatta	10,232,700
38	mitra-10	propan-decorcryl	1,258,782
39	tb-ns-lk	1_pipa-rucika	108,000
40	tb-ns-lk	1_sok-drat-dalam-rucika	5,000
41	4-10	41	1,725,000
42	5-10	42	1,535,000
43	22-10	43	1,052,000
