num	name	item	cost
1	karya-loka	tiga-roda	335,000
2	depo-bangunan	53_tile-grout	662,047
3	karya-loka	pasir	280,000
4	bj-home	sika-ceram	179,800
5	depo-bangunan	51-1s_premium-tile-grout	596,188
6	bj-home	dcatania-sand	1,064,000
7	depo-bangunan	jotas-ultra-clean	350,448
8	karya-loka	cequaputty	50,000
9	karya-loka	amplas-120	16,000
10	depo-bangunan	jotas-ultra-clean	930,134
11	tb-ns-lk	4_knee-3-per-4-rucika	26,000
12	guna-jaya	stop-kontak	42,500
13	garda-kusuma-wisnujaya	masking-daimaru	30,000
14	karya-loka	aquaputty	125,000
15	karya-loka	gresik	60,000
16	bj-home	dcatania-sand	251,700
17	cimb-niaga	propan	364,735
18	tb-ns-lk	5_semen-gresik	595,000
19	toko-cat-warna	amplas	15,000
20	intan-jaya	pak-kain	20,000
