num	name	item	cost
1	karya-loka	pipa	514,000
2	karya-loka	null	82,000
3	semen-tiga-roda	1-sak-semen	78,000
4	intan-jaya	pipa	768,000
5	ns-lk	pipa	279,000
6	sumber-abadi	nym-eterna	2,645,000
7	guna-jaya	habel	990,000
8	tb-ns-lk	1_kompon-aplus	60,000
9	depo-bangunan	pu-wp-dark-grey	257,199
10	putra-sumber-abadi	pipa-conduit	194,595
11	toko-cat-warna-abadi	dpl-plst-sanpolac-1k	64,000
12	toko-cat-warna-abadi	amplas-ty-bangunan	34,000
13	sumer-abadi	pipa-20mm-ssl	637,500
14	sumer-abadi	panasonic	110,000
15	tb-ns-lk	8-semen-gresik	455,000
16	ns-lk	sok	16,000
17	guna-jaya	etr-3-x-15	980,000
18	guna-jaya	habel	795,000
19	toko-cat	amplas-taiyo	4,000
20	guna-jaya	mcb-16-a	772,500
21	ns-lk	zinc-belkote	115,000
22	null	spray	355,000
23	ns-lk	cat	150,000
24	ns-lk	sampola	110,000
25	ns-lk	pipa	44,000
26	ns-lk	talc	397,000
