date	item	cost
5-7-2022	5-bh_ember	404,000
8-7-2022	10-btg_besi	2,454,000
11-7-2022	5-kg_kawat_beton	149,000
13-7-2022	1-kijang_batu-split	5,370,000
15-7-2022	20-btg_besi-12_full	4,405,000
9-7-2022	1-bh_palu-kotak-4-lembar	130,000
19-7-2022	1-truk_pasir-bangka	1,750,000
22-7-2022	2-m-kubik_habel	7,069,000
22-7-2022	10-btg_besi-10-full	1,866,000

2-8-2022	1-kijang_batu-split	3,203,000
6-8-2022	10-btg_besi-8-full	1,360,000
15-8-2022	15-btg_baja-ringan-0-75-mm	1,605,000
12-8-2022	6-btg_besi-10-full	3,013,000
18-8-2022	1-pc_mata-bor-kayu-10	135,000
19-8-2022	2-bh_bulu-rol	20,000
20-8-2022	1-m-kubik_habel	4,416,000
22-8-2022	2000-pc_kanmuri	19,156,278
22-8-2022	1-pc_mata-bor-lancip	100,000
23-8-2022	15-bh_hollow-4-x-2	1,467,500
23-8-2022	1-unit_mesin-bor-10mm	595,000
31-8-2022	40-pc_bmk-8-x-25	26,000
31-8-2022	48-pc_genteng-kanmuri	456,000
31-8-2022	8-sak_semen	424,000
10-8-2022	76-btg_baja-ringan-0-75-mm	13,789,000
22-8-2022	2-btg_baja-ringan-0-75-mm	994,000
2-9-2022	1-btg_unp-100	563,000
18-10-2022	2-set_pintu-pvc-80x205	1,100,000
